,Unnamed: 0,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Total_Cases/1M pop,Deaths/1M pop,TotalTests,"Tests
1M pop",Latitude,Longitude
0,1,USA Total,"1,218,638","5,803","70,727",806,"959,133","3,682",214,"7,535,605","22,766",37.29114,-120.505736
1,2,New York,"327,374",,"25,174",230,"248,855","16,687","1,283","1,007,310","51,345",41.6762594,-73.8966146
2,3,New Jersey,"129,345",,"7,951",,"120,123","14,563",895,"275,900","31,063",40.7009476,-74.1736298
3,4,Massachusetts,"69,087",,"4,090",,"56,879","10,115",599,"324,268","47,476",42.3507241,-71.3243715
4,5,Illinois,"63,840",,"2,662",,"60,533","4,979",208,"333,147","25,983",41.7801185,-87.6438408
5,6,California,"56,306",217,"2,294",11,"46,448","1,438",59,"750,287","19,165",33.9347606,-118.4190275
6,7,Pennsylvania,"52,922",,"3,012",162,"48,927","4,137",235,"250,882","19,614",41.446145,-80.380024
7,8,Michigan,"43,950",,"4,135",,"24,156","4,414",415,"229,183","23,016",42.2154514,-83.3555136
8,9,Florida,"37,439",542,"1,471",72,"35,282","1,818",71,"467,553","22,699",25.7902444,-80.2850584
9,10,Texas,"33,188",161,920,5,"15,603","1,190",33,"407,528","14,614",32.9200394,-96.7287279
10,11,Connecticut,"30,173",,"2,556",,"27,552","8,425",714,"105,330","29,409",41.9418143,-72.693798
11,12,Louisiana,"29,673",,"2,064",,"10,306","6,363",443,"180,931","38,796",29.9979368,-90.247969
12,13,Georgia,"29,560",122,"1,258",12,"27,962","2,871",122,"200,814","19,501",33.8939556,-84.4465937
13,14,Maryland,"27,117",709,"1,390",73,"24,210","4,517",232,"140,103","23,337",39.4830156,-76.6529125
14,15,Indiana,"21,033",526,"1,326",62,"19,693","3,169",200,"115,834","17,452",39.7122782,-86.2938933
15,16,Ohio,"20,476",,"1,058",,"18,970","1,759",91,"154,290","13,253",40.0149285,-83.0276989
16,17,Virginia,"20,256",764,713,29,"17,046","2,407",85,"127,938","15,206",37.5093923,-77.3279156
17,18,Colorado,"16,907",,851,,"15,497","3,057",154,"83,266","15,054",39.3094503,-108.2097709
18,19,Washington,"16,136",,846,,"12,858","2,212",116,"216,320","29,656",41.746151,-73.758053
19,20,Tennessee,"13,571",,219,,"7,271","2,040",33,"211,443","31,791",36.1217732,-86.6755174
20,21,North Carolina,"12,377",405,460,18,"10,109","1,219",45,"151,800","14,947",35.2329546,-80.9433595
21,22,Iowa,"10,111",408,207,19,"6,332","3,228",66,"57,161","18,248",41.9216734,-93.3122705
22,23,Rhode Island,"9,933",281,355,14,"9,236","9,401",336,"76,435","72,340",41.8440909,-71.4645429
23,24,Arizona,"9,305",386,395,33,"8,840","1,339",57,"85,253","12,272",32.1668672,-110.9952924
24,25,Missouri,"8,887",,383,,"6,517","1,459",63,"91,083","14,956",37.245244,-93.3858628
25,26,Wisconsin,"8,236",,340,,"3,923","1,425",59,"88,703","15,351",42.9522965,-87.896869
26,27,Alabama,"8,120",8,310,12,"7,790","1,669",64,"105,083","21,601",34.8384633,-87.6417624
27,28,Mississippi,"7,877",,310,,"4,154","2,636",104,"79,677","26,659",31.0670168,-91.5189269
28,29,Minnesota,"7,851",617,455,27,"2,782","1,420",82,"88,009","15,922",45.9896587,-94.6113288
29,30,South Carolina,"6,757",,283,,"1,593","1,363",57,"67,771","13,675",33.6548722,-78.9238179
30,31,Nebraska,"6,083",,79,,"5,982","3,194",41,"34,675","18,204",41.7562146,-103.6741039
31,32,Nevada,"5,594",103,267,1,"2,422","1,914",91,"59,437","20,335",36.0846603,-115.1647542
32,33,Kansas,"5,391",63,156,,"4,254","1,853",54,"38,603","13,271",39.2067868,-96.6009241
33,34,Delaware,"5,371",83,187,5,"3,337","5,657",197,"24,680","25,993",39.8665604,-75.2491487
34,35,District Of Columbia,"5,322",152,264,6,"4,391","7,775",386,"24,329","35,543",38.8936613,-76.9878833
35,36,Utah,"5,317",,50,,"3,082","1,746",16,"124,661","40,935",40.3144221,-111.7189893
36,37,Kentucky,"5,245",,261,,"3,862","1,181",59,"60,046","13,523",37.5726028,-85.1551411
37,38,Oklahoma,"4,127",83,247,9,"1,198","1,053",63,"70,368","17,960",34.9550817,-97.2684063
38,39,New Mexico,"4,031",,156,,"3,115","1,926",75,"81,720","39,055",35.6714082,-105.9649499
39,40,Arkansas,"3,469",11,80,,"1,348","1,160",27,"54,608","18,259",35.2048883,-92.4479108
40,41,Oregon,"2,759",,109,,"1,790",676,27,"63,443","15,542",44.290253,-121.5502265
41,42,South Dakota,"2,668",,21,,817,"3,087",24,"18,713","21,651",30.528989,-98.357235
42,43,New Hampshire,"2,588",,86,,"1,483","1,926",64,"30,836","22,950",42.9183579,-71.4266478
43,44,Idaho,"2,106",,64,,684,"1,248",38,"30,146","17,861",43.6447642,-114.0154071
44,45,North Dakota,"1,266",41,25,,682,"1,683",33,"36,421","48,419",47.9505533,-97.1710836
45,46,West Virginia,"1,238",14,50,,616,677,27,"54,823","29,973",47.5156127,-92.5701953
46,47,Maine,"1,226",21,61,4,424,920,46,"20,641","15,487",43.5070169,-70.3919149
47,48,Vermont,907,5,52,,855,"1,451",83,"17,518","28,030",44.5990718,-72.5002608
48,49,Hawaii,621,,17,,56,437,12,"34,711","24,409",19.6675505,-155.9967158
49,50,Wyoming,596,,7,,184,"1,024",12,"10,454","17,967",43.1700264,-107.5685348
50,51,Montana,457,,16,,31,439,15,"15,272","14,660",62.0797222,-150.0727778
51,52,Alaska,370,,9,,98,501,12,"21,723","29,414",61.1871952,-150.0009214
52,53,Guam,149,,5,,13,,,605,,13.4501257,144.757551
53,54,Northern Mariana Islands,14,,2,,0,,,948,,14.1490205,145.2134525
54,55,Puerto Rico,"1,924",81,99,2,"1,450",568,29,"13,022","3,845",18.4066651,-66.0497825
55,56,United States Virgin Islands,66,,4,,11,,,"1,046",,17.789187,-64.7080574
56,57,Veteran Affairs,"9,627",,722,,"8,905",,,"107,178",,33.8008734,-84.3128071
57,58,US Military,"7,434",,27,,"4,539",,,,,59.7878683,132.6829939
58,59,Navajo Nation,"2,373",,73,,"2,300",,,"11,627",,36.3089731,-109.325688
59,60,Federal Prisons,"2,340",,40,,"1,608",,,,,37.84269,-90.504733
60,61,Grand Princess Ship,103,,3,,100,,,,,41.141023,-94.984766
61,62,Wuhan Repatriated,3,,,,3,,,3,,20.88191,-156.520641
62,63,Diamond Princess Ship,46,,,,46,,,46,,39.766121,-105.606489
63,64,Total:,"1,218,638","5,803","70,727",806,"959,133","3,682",214,"7,535,605","22,766",45.420063,12.3751361
